1,J. Lee,2008,Connecting Informal and Formal Learning Experiences in the Age of Participatory Media
96,Joe Garofalo,2011,Aiming for Inquiry: A Deep and Wide View of Exemplary Strategies for Preparing Teachers to Teach for Inquiry,team_96
96,Randy L. Bell,2011,Aiming for Inquiry: A Deep and Wide View of Exemplary Strategies for Preparing Teachers to Teach for Inquiry,team_96
96,Carl Young,2011,Aiming for Inquiry: A Deep and Wide View of Exemplary Strategies for Preparing Teachers to Teach for Inquiry,team_96
97,J. Lee,1973,Teaching social studies in the secondary school
97,John Lee,1973,Teaching social studies in the secondary school,team_97
97,Stephan E. Ellenwood,1973,Teaching social studies in the secondary school,team_97
97,Timothy H. Little,1973,Teaching social studies in the secondary school,team_97
98,J. Lee,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods
98,Descriptors Distance,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods,team_98
98,Marsha Alibrandi,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods,team_98
98,Tony Dralle,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods,team_98
98,D. Hicks,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods,team_98
98,Timothy A. Keiper,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods,team_98
98,Maya Creedman,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods,team_98
98,J. Flores,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods,team_98
98,K. Lee,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods,team_98
98,David Kumrow,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods,team_98
98,E. Kazlauskas,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods,team_98
98,Ask N Asan,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods,team_98
98,C. White,2000,Studies Teacher Educators Collaborate To Integrate Technology into Methods,team_98
99,J. Lee,2013,DATA COLLECTION AND PRESENTATION
99,Cheng-Few Lee,2013,DATA COLLECTION AND PRESENTATION,team_99
99,John Lee,2013,DATA COLLECTION AND PRESENTATION,team_99
99,Alice Lee,2013,DATA COLLECTION AND PRESENTATION,team_99
100,J. Lee,2016,Knowledge-rich computer-assisted composition of Chinese couplets
100,John Lee,2016,Knowledge-rich computer-assisted composition of Chinese couplets,team_100
100,Ying Cheuk Hui,2016,Knowledge-rich computer-assisted composition of Chinese couplets,team_100
100,Yin Hei Kong,2016,Knowledge-rich computer-assisted composition of Chinese couplets,team_100
101,J. Lee,2020,A Dataset for Investigating the Impact of Feedback on Student Revision Outcome
101,Ildikó Pilán,2020,A Dataset for Investigating the Impact of Feedback on Student Revision Outcome,team_101
101,John Lee,2020,A Dataset for Investigating the Impact of Feedback on Student Revision Outcome,team_101
101,Chak Yan Yeung,2020,A Dataset for Investigating the Impact of Feedback on Student Revision Outcome,team_101
101,Jonathan Webster,2020,A Dataset for Investigating the Impact of Feedback on Student Revision Outcome,team_101
102,J. Lee,2008,Is “social justice” justice? : A Thomistic argument for “social persons” as the proper subjects of the virtue of social justice.
102,John Lee,2008,Is “social justice” justice? : A Thomistic argument for “social persons” as the proper subjects of the virtue of social justice.,team_102
103,J. Lee,2008,YouTute: Online Social Networking for Vicarious Learning
103,S. Rabold,2008,YouTute: Online Social Networking for Vicarious Learning,team_103
103,S. Anderson,2008,YouTute: Online Social Networking for Vicarious Learning,team_103
103,N. Mayo,2008,YouTute: Online Social Networking for Vicarious Learning,team_103
104,J. Lee,2005,Investigating speech therapists' clinical reasoning: analysing think-aloud protocols and integrating multiple-source data.
104,Barbara Howarth,2005,Investigating speech therapists' clinical reasoning: analysing think-aloud protocols and integrating multiple-source data.,team_104
104,K. Hoben,2005,Investigating speech therapists' clinical reasoning: analysing think-aloud protocols and integrating multiple-source data.,team_104
104,J. Morris,2005,Investigating speech therapists' clinical reasoning: analysing think-aloud protocols and integrating multiple-source data.,team_104
104,R. Varley,2005,Investigating speech therapists' clinical reasoning: analysing think-aloud protocols and integrating multiple-source data.,team_104
104,R. Cox,2005,Investigating speech therapists' clinical reasoning: analysing think-aloud protocols and integrating multiple-source data.,team_104
105,J. Lee,2018,Pre-registration Nursing Recruitment and Retention – Underrepresentation of Men Influences and Causes: FINAL REPORT for the Scottish Collaboration for the Enhancement of Pre-Registration Nursing (SCPREN) and commissioned by NES
105,H. Whitford,2018,Pre-registration Nursing Recruitment and Retention – Underrepresentation of Men Influences and Causes: FINAL REPORT for the Scottish Collaboration for the Enhancement of Pre-Registration Nursing (SCPREN) and commissioned by NES,team_105
105,H. Bain,2018,Pre-registration Nursing Recruitment and Retention – Underrepresentation of Men Influences and Causes: FINAL REPORT for the Scottish Collaboration for the Enhancement of Pre-Registration Nursing (SCPREN) and commissioned by NES,team_105
105,M. Carson,2018,Pre-registration Nursing Recruitment and Retention – Underrepresentation of Men Influences and Causes: FINAL REPORT for the Scottish Collaboration for the Enhancement of Pre-Registration Nursing (SCPREN) and commissioned by NES,team_105
105,A. Gavine,2018,Pre-registration Nursing Recruitment and Retention – Underrepresentation of Men Influences and Causes: FINAL REPORT for the Scottish Collaboration for the Enhancement of Pre-Registration Nursing (SCPREN) and commissioned by NES,team_105
105,G. Marland,2018,Pre-registration Nursing Recruitment and Retention – Underrepresentation of Men Influences and Causes: FINAL REPORT for the Scottish Collaboration for the Enhancement of Pre-Registration Nursing (SCPREN) and commissioned by NES,team_105
105,J. Taylor,2018,Pre-registration Nursing Recruitment and Retention – Underrepresentation of Men Influences and Causes: FINAL REPORT for the Scottish Collaboration for the Enhancement of Pre-Registration Nursing (SCPREN) and commissioned by NES,team_105
105,J. Eccles,2018,Pre-registration Nursing Recruitment and Retention – Underrepresentation of Men Influences and Causes: FINAL REPORT for the Scottish Collaboration for the Enhancement of Pre-Registration Nursing (SCPREN) and commissioned by NES,team_105
106,J. Lee,2002,Second Workshop on Creative Systems Approaches to Creativity in Artificial Intelligence and Cognitive Science European Conference on Artificial Intelligence (ECAI 2002)
106,Alison Pease,2002,Second Workshop on Creative Systems Approaches to Creativity in Artificial Intelligence and Cognitive Science European Conference on Artificial Intelligence (ECAI 2002),team_106
106,Simon Colton,2002,Second Workshop on Creative Systems Approaches to Creativity in Artificial Intelligence and Cognitive Science European Conference on Artificial Intelligence (ECAI 2002),team_106
106,Alan Smaill,2002,Second Workshop on Creative Systems Approaches to Creativity in Artificial Intelligence and Cognitive Science European Conference on Artificial Intelligence (ECAI 2002),team_106
106,John Lee,2002,Second Workshop on Creative Systems Approaches to Creativity in Artificial Intelligence and Cognitive Science European Conference on Artificial Intelligence (ECAI 2002),team_106
107,J. Lee,2016,A Customizable Editor for Text Simplification
107,John Lee,2016,A Customizable Editor for Text Simplification,team_107
107,Wenlong Zhao,2016,A Customizable Editor for Text Simplification,team_107
107,Wenxiu Xie,2016,A Customizable Editor for Text Simplification,team_107
108,J. Lee,2012,Wiring the Past: The Lincoln Telegrams Project
108,John Lee,2012,Wiring the Past: The Lincoln Telegrams Project,team_108
108,Philip Molebash,2012,Wiring the Past: The Lincoln Telegrams Project,team_108
109,J. Lee,2002,Use of digital historical resources in a large urban school system
109,D. Hicks,2002,Use of digital historical resources in a large urban school system,team_109
110,J. Lee,2004,Clarifying the Design Task – developing a ‘ toolkit ’ for teachers and pupils
110,R. Todd,2004,Clarifying the Design Task – developing a ‘ toolkit ’ for teachers and pupils,team_110
111,J. Lee,2008,Operation Iraqi Freedom: Actions Needed to Enhance DOD Planning for Reposturing of U.S. Forces from Iraq
111,William M. Solis,2008,Operation Iraqi Freedom: Actions Needed to Enhance DOD Planning for Reposturing of U.S. Forces from Iraq,team_111
111,David A. Schmitt,2008,Operation Iraqi Freedom: Actions Needed to Enhance DOD Planning for Reposturing of U.S. Forces from Iraq,team_111
111,G Lofaro,2008,Operation Iraqi Freedom: Actions Needed to Enhance DOD Planning for Reposturing of U.S. Forces from Iraq,team_111
111,John Lee,2008,Operation Iraqi Freedom: Actions Needed to Enhance DOD Planning for Reposturing of U.S. Forces from Iraq,team_111
111,Katherine S. Lenane,2008,Operation Iraqi Freedom: Actions Needed to Enhance DOD Planning for Reposturing of U.S. Forces from Iraq,team_111
111,Gregory Marchand,2008,Operation Iraqi Freedom: Actions Needed to Enhance DOD Planning for Reposturing of U.S. Forces from Iraq,team_111
111,J. J. Marzullo,2008,Operation Iraqi Freedom: Actions Needed to Enhance DOD Planning for Reposturing of U.S. Forces from Iraq,team_111
111,Tristan T. To,2008,Operation Iraqi Freedom: Actions Needed to Enhance DOD Planning for Reposturing of U.S. Forces from Iraq,team_111
111,Christopher Turner,2008,Operation Iraqi Freedom: Actions Needed to Enhance DOD Planning for Reposturing of U.S. Forces from Iraq,team_111
111,Cheryl Weissman,2008,Operation Iraqi Freedom: Actions Needed to Enhance DOD Planning for Reposturing of U.S. Forces from Iraq,team_111
112,J. Lee,2012,Model of the Student Club
112,John Lee,2012,Model of the Student Club,team_112
113,J. Lee,2003,A Defense of Scientific Phenomenalism from the Perspective of Contemporary Physics
113,John Lee,2003,A Defense of Scientific Phenomenalism from the Perspective of Contemporary Physics,team_113
114,J. Lee,2006,An Evaluation of Electronic and Paper distance Learning Packages for Practice Based Healthcare Staff
114,Karen Lee,2006,An Evaluation of Electronic and Paper distance Learning Packages for Practice Based Healthcare Staff,team_114
114,John Lee,2006,An Evaluation of Electronic and Paper distance Learning Packages for Practice Based Healthcare Staff,team_114
115,J. Lee,2007,Journal of Visual Languages
115,Olav Bertelsen,2007,Journal of Visual Languages,team_115
115,S. Diehl,2007,Journal of Visual Languages,team_115
115,P. Fishwick,2007,Journal of Visual Languages,team_115
115,Carsten Görg,2007,Journal of Visual Languages,team_115
115,Frederic Fol,2007,Journal of Visual Languages,team_115
115,M. Fleischmann,2007,Journal of Visual Languages,team_115
115,B. Fry,2007,Journal of Visual Languages,team_115
115,S. Grabowski,2007,Journal of Visual Languages,team_115
115,D. Gromala,2007,Journal of Visual Languages,team_115
115,J. Löwgren,2007,Journal of Visual Languages,team_115
116,J. Lee,2004,D&T making a difference in black ethnic minority education: the Sheffield LEA ICSYS partnership
116,T. S. Lewis,2004,D&T making a difference in black ethnic minority education: the Sheffield LEA ICSYS partnership,team_116
116,P. Ross,2004,D&T making a difference in black ethnic minority education: the Sheffield LEA ICSYS partnership,team_116
116,J. Dein,2004,D&T making a difference in black ethnic minority education: the Sheffield LEA ICSYS partnership,team_116
116,J. Dawson,2004,D&T making a difference in black ethnic minority education: the Sheffield LEA ICSYS partnership,team_116
117,J. Lee,2006,Digital History in Social Studies Teacher Education: Practices Promises and Provisos Part 1
117,Meghan M. McGlinn,2006,Digital History in Social Studies Teacher Education: Practices Promises and Provisos Part 1,team_117
117,Thomas T. Hammond,2006,Digital History in Social Studies Teacher Education: Practices Promises and Provisos Part 1,team_117
117,Adam Friedman,2006,Digital History in Social Studies Teacher Education: Practices Promises and Provisos Part 1,team_117
117,Cheryl Mason Bolick,2006,Digital History in Social Studies Teacher Education: Practices Promises and Provisos Part 1,team_117
117,G. Bull,2006,Digital History in Social Studies Teacher Education: Practices Promises and Provisos Part 1,team_117
117,Bill Ferster,2006,Digital History in Social Studies Teacher Education: Practices Promises and Provisos Part 1,team_117
117,D. Hicks,2006,Digital History in Social Studies Teacher Education: Practices Promises and Provisos Part 1,team_117
117,B. Calandra,2006,Digital History in Social Studies Teacher Education: Practices Promises and Provisos Part 1,team_117
117,Peter E. Doolittle,2006,Digital History in Social Studies Teacher Education: Practices Promises and Provisos Part 1,team_117
117,T. Ewing,2006,Digital History in Social Studies Teacher Education: Practices Promises and Provisos Part 1,team_117
118,J. Lee,2014,Creating a Predictive Statistical Model for Catching 155mm Artillery Projectiles
118,Alexander Abia,2014,Creating a Predictive Statistical Model for Catching 155mm Artillery Projectiles,team_118
118,Logan Bolitho,2014,Creating a Predictive Statistical Model for Catching 155mm Artillery Projectiles,team_118
118,John Lee,2014,Creating a Predictive Statistical Model for Catching 155mm Artillery Projectiles,team_118
118,Henry Jang-Milsten,2014,Creating a Predictive Statistical Model for Catching 155mm Artillery Projectiles,team_118
118,Jamie Molacek,2014,Creating a Predictive Statistical Model for Catching 155mm Artillery Projectiles,team_118
118,Alexander Pfister,2014,Creating a Predictive Statistical Model for Catching 155mm Artillery Projectiles,team_118
118,Charles Martin,2014,Creating a Predictive Statistical Model for Catching 155mm Artillery Projectiles,team_118
118,Gregory L. Boylan,2014,Creating a Predictive Statistical Model for Catching 155mm Artillery Projectiles,team_118
118,Scott Robert Hunter,2014,Creating a Predictive Statistical Model for Catching 155mm Artillery Projectiles,team_118
119,J. Lee,2016,PROFESSIONAL EDUCATION & TRAINING | RESEARCH ARTICLE General intelligence emotional intelligence and academic knowledge as predictors of creativity domains: A study of gifted students
119,John Lee,2016,PROFESSIONAL EDUCATION & TRAINING | RESEARCH ARTICLE General intelligence emotional intelligence and academic knowledge as predictors of creativity domains: A study of gifted students,team_119
120,J. Lee,1992,Book reviews
120,John Lee,1992,Book reviews,team_120
121,J. Lee,2014,Automatic Detection of Comma Splices
121,John Lee,2014,Automatic Detection of Comma Splices,team_121
121,Chak Yan Yeung,2014,Automatic Detection of Comma Splices,team_121
121,Martin Chodorow,2014,Automatic Detection of Comma Splices,team_121
122,J. Lee,2012,Design preferences and cognitive styles: experimentation by automated website synthesis
122,Siu-wai Leung,2012,Design preferences and cognitive styles: experimentation by automated website synthesis,team_122
122,C. Johnson,2012,Design preferences and cognitive styles: experimentation by automated website synthesis,team_122
122,David Robertson,2012,Design preferences and cognitive styles: experimentation by automated website synthesis,team_122
123,J. Lee,1993,Spectrum: an educational computer game
123,M. Trigueros,1993,Spectrum: an educational computer game,team_123
123,Julia Tagüeña,1993,Spectrum: an educational computer game,team_123
123,R. Barrio,1993,Spectrum: an educational computer game,team_123
124,J. Lee,2006,Growth in Teachers' Knowledge about Digital Historical Inquiry
124,John Lee,2006,Growth in Teachers' Knowledge about Digital Historical Inquiry,team_124
125,J. Lee,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource
125,Victoria Blake,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
125,Jennifer G. Kling,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
125,Patrick M. Hayes,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
125,Jean Luc Jannink,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
125,Suman R. Jillella,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
125,John Lee,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
125,David E. Matthews,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
125,Shiaoman Chao,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
125,Timothy J. Close,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
125,Gary J. Muehlbauer,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
125,Kevin P. Smith,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
125,Roger P. Wise,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
125,Julie A. Dickerson,2012,The Hordeum Toolbox: The Barley Coordinated Agricultural Project Genotype and Phenotype Resource,team_125
126,J. Lee,2009,Shakespeare Human Nature and English Literature1
126,John Lee,2009,Shakespeare Human Nature and English Literature1,team_126
127,J. Lee,2000,Resolution Determined Directly from Its Sulfur Substructure Structure of the Ca2+-regulated Photoprotein Obelin at 1.7 a References
127,Zhi-jie Liu,2000,Resolution Determined Directly from Its Sulfur Substructure Structure of the Ca2+-regulated Photoprotein Obelin at 1.7 a References,team_127
127,Eugene S Vysotski,2000,Resolution Determined Directly from Its Sulfur Substructure Structure of the Ca2+-regulated Photoprotein Obelin at 1.7 a References,team_127
127,Chun-Jung Chen,2000,Resolution Determined Directly from Its Sulfur Substructure Structure of the Ca2+-regulated Photoprotein Obelin at 1.7 a References,team_127
127,John P. Rose,2000,Resolution Determined Directly from Its Sulfur Substructure Structure of the Ca2+-regulated Photoprotein Obelin at 1.7 a References,team_127
127,John Lee,2000,Resolution Determined Directly from Its Sulfur Substructure Structure of the Ca2+-regulated Photoprotein Obelin at 1.7 a References,team_127
127,Bicheng Wang,2000,Resolution Determined Directly from Its Sulfur Substructure Structure of the Ca2+-regulated Photoprotein Obelin at 1.7 a References,team_127
128,J. Lee,2009,Human Evaluation of Article and Noun Number Usage: Influences of Context and Construction Variability
128,John Lee,2009,Human Evaluation of Article and Noun Number Usage: Influences of Context and Construction Variability,team_128
128,Joel R. Tetreault,2009,Human Evaluation of Article and Noun Number Usage: Influences of Context and Construction Variability,team_128
128,Martin Chodorow,2009,Human Evaluation of Article and Noun Number Usage: Influences of Context and Construction Variability,team_128
129,J. Lee,2014,ME 283: Automatic Control of Manufacturing Processes Course Redesign
129,John Lee,2014,ME 283: Automatic Control of Manufacturing Processes Course Redesign,team_129
130,J. Lee,1989,Steps to Independence
130,John Lee,1989,Steps to Independence,team_130
131,J. Lee,2011,Leveraging the Affordances of Educational Blogs to Teach Low-Achieving Students United States History
131,Meghan McGlinn Manfra,2011,Leveraging the Affordances of Educational Blogs to Teach Low-Achieving Students United States History,team_131
131,John Lee,2011,Leveraging the Affordances of Educational Blogs to Teach Low-Achieving Students United States History,team_131
132,J. Lee,2002,Engaging in scholarly dialogue: CITE Journal and the social studies
132,M. Berson,2002,Engaging in scholarly dialogue: CITE Journal and the social studies,team_132
132,D. Hicks,2002,Engaging in scholarly dialogue: CITE Journal and the social studies,team_132
133,J. Lee,2015,China's Economic Slowdown: what are the Strategic Implications?
133,John Lee,2015,China's Economic Slowdown: what are the Strategic Implications?,team_133
134,J. Lee,2020,Characterization of refracture orientation in poorly propped fractured wells by pressure transient analysis: Model pitfall and application
134,Le Luo,2020,Characterization of refracture orientation in poorly propped fractured wells by pressure transient analysis: Model pitfall and application,team_134
134,Shiqing Cheng,2020,Characterization of refracture orientation in poorly propped fractured wells by pressure transient analysis: Model pitfall and application,team_134
134,John Lee,2020,Characterization of refracture orientation in poorly propped fractured wells by pressure transient analysis: Model pitfall and application,team_134
135,J. Lee,2015,Handbook of Financial Econometrics and Statistics
135,Cheng-Few Lee,2015,Handbook of Financial Econometrics and Statistics,team_135
135,John Lee,2015,Handbook of Financial Econometrics and Statistics,team_135
136,J. Lee,2002,1 ABSTRACTION  VISUALISATION AND GRAPHICAL PROOF
136,Luis Alberto Pineda,2002,1 ABSTRACTION  VISUALISATION AND GRAPHICAL PROOF,team_136
136,John Lee,2002,1 ABSTRACTION  VISUALISATION AND GRAPHICAL PROOF,team_136
136,Gabriela Garza,2002,1 ABSTRACTION  VISUALISATION AND GRAPHICAL PROOF,team_136
137,J. Lee,2011,Hispanic-Serving Institutions: Contributions and Challenges
137,Lindsey E. Malcom-Piqueux,2011,Hispanic-Serving Institutions: Contributions and Challenges,team_137
137,John Lee,2011,Hispanic-Serving Institutions: Contributions and Challenges,team_137
138,J. Lee,2019,Computer-Assisted Learning for Chinese Based on Character Families
138,John Lee,2019,Computer-Assisted Learning for Chinese Based on Character Families,team_138
138,Chak Yan Yeung,2019,Computer-Assisted Learning for Chinese Based on Character Families,team_138
139,J. Lee,2001,Applying web-based product libraries
139,R. Coyne,2001,Applying web-based product libraries,team_139
139,D. Duncan,2001,Applying web-based product libraries,team_139
139,S. Ofluoglu,2001,Applying web-based product libraries,team_139
140,J. Lee,2006,Editorial: Discourse on Technology in Social Education
140,D. Hicks,2006,Editorial: Discourse on Technology in Social Education,team_140
141,J. Lee,2011,The history and potential of the field of literature in liberal arts education
141,John Lee,2011,The history and potential of the field of literature in liberal arts education,team_141
142,J. Lee,2004,Teaching the Mystery of History.
142,D. Hicks,2004,Teaching the Mystery of History.,team_142
142,J. Carroll,2004,Teaching the Mystery of History.,team_142
142,Peter E. Doolittle,2004,Teaching the Mystery of History.,team_142
142,B. Oliver,2004,Teaching the Mystery of History.,team_142
143,J. Lee,2014,Supporting Online Professional Learning with National History Day Resources at the Library of Congress : Utilizing primary sources course management software and web 2.0 tools.
143,D. Hicks,2014,Supporting Online Professional Learning with National History Day Resources at the Library of Congress : Utilizing primary sources course management software and web 2.0 tools.,team_143
143,Ann Canning,2014,Supporting Online Professional Learning with National History Day Resources at the Library of Congress : Utilizing primary sources course management software and web 2.0 tools.,team_143
144,J. Lee,1989,Knowledge-Based Graphical Dialogue: A Strategy and Architecture
144,John Lee,1989,Knowledge-Based Graphical Dialogue: A Strategy and Architecture,team_144
144,Bob Kemp,1989,Knowledge-Based Graphical Dialogue: A Strategy and Architecture,team_144
144,Traude Manz,1989,Knowledge-Based Graphical Dialogue: A Strategy and Architecture,team_144
145,J. Lee,2012,A Dependency Treebank of Classical Chinese Poems
145,John Lee,2012,A Dependency Treebank of Classical Chinese Poems,team_145
145,Yin Hei Kong,2012,A Dependency Treebank of Classical Chinese Poems,team_145
146,J. Lee,2008,Participation and Performance for Native American Students in the 2007 SAT® Cohort.
146,John Lee,2008,Participation and Performance for Native American Students in the 2007 SAT® Cohort.,team_146
147,J. Lee,1999,Words and Pictures - Goodman Revisited
147,John Lee,1999,Words and Pictures - Goodman Revisited,team_147
148,J. Lee,1999,Comparison of grizzly bear telemetry location data with a grizzly bear habitat model
148,John Lee,1999,Comparison of grizzly bear telemetry location data with a grizzly bear habitat model,team_148
148,Gordon B. Stenhouse,1999,Comparison of grizzly bear telemetry location data with a grizzly bear habitat model,team_148
149,J. Lee,1965,Readings on elementary social studies : prologue to change
149,John Lee,1965,Readings on elementary social studies : prologue to change,team_149
149,Jonathon C. McLendon,1965,Readings on elementary social studies : prologue to change,team_149
